               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.018434,             0.01064,           0.0010315,               0.928,             0.89424,              0.9304,             0.66639,             0.02364,            0.011633,           0.0032238,           0.0041468,           0.0041468,           0.0041468
                 100,            0.018395,            0.010877,          0.00095534,             0.94556,              0.8836,             0.93111,              0.6678,            0.023643,             0.01165,           0.0031499,            0.004073,            0.004073,            0.004073
                 101,            0.017971,            0.010495,          0.00089414,             0.94037,             0.88604,             0.93112,             0.66773,            0.023615,             0.01166,           0.0032136,               0.004,               0.004,               0.004
                 102,            0.017954,            0.010651,          0.00089624,             0.93934,             0.88916,             0.93033,             0.66795,            0.023656,            0.011702,           0.0032401,           0.0039279,           0.0039279,           0.0039279
                 103,            0.017865,            0.010755,          0.00087169,              0.9425,             0.88558,             0.93078,             0.66672,            0.023653,            0.011743,           0.0032239,           0.0038567,           0.0038567,           0.0038567
                 104,            0.017825,            0.010444,          0.00097406,             0.94694,             0.88339,             0.93064,             0.66762,            0.023646,            0.011792,            0.003232,           0.0037864,           0.0037864,           0.0037864
                 105,            0.017948,            0.010788,          0.00097804,             0.94542,             0.88514,             0.93107,             0.66709,            0.023638,            0.011806,           0.0033048,           0.0037171,           0.0037171,           0.0037171
                 106,            0.017602,            0.010543,          0.00084278,             0.94556,             0.88448,             0.93006,             0.66806,            0.023613,            0.011842,           0.0033102,           0.0036489,           0.0036489,           0.0036489
                 107,            0.017438,            0.010129,          0.00085731,             0.95024,             0.88124,             0.93004,             0.66805,            0.023668,            0.011845,           0.0033037,           0.0035816,           0.0035816,           0.0035816
                 108,            0.017368,            0.010256,          0.00089914,             0.94939,               0.885,             0.93261,              0.6675,            0.023683,            0.011858,           0.0033132,           0.0035154,           0.0035154,           0.0035154
                 109,            0.017308,            0.010095,          0.00087323,              0.9459,             0.88283,             0.93157,             0.66596,             0.02371,              0.0119,           0.0033541,           0.0034503,           0.0034503,           0.0034503
                 110,             0.01743,            0.010322,          0.00078108,             0.94704,             0.88602,             0.93155,             0.66678,             0.02372,            0.011886,           0.0034114,           0.0033863,           0.0033863,           0.0033863
                 111,            0.016984,            0.010104,          0.00087094,             0.94914,             0.88664,             0.93159,             0.66656,            0.023751,            0.011895,           0.0033247,           0.0033235,           0.0033235,           0.0033235
                 112,            0.017112,            0.010296,          0.00090278,             0.95063,             0.88565,             0.93127,              0.6661,             0.02379,            0.011928,           0.0033348,           0.0032618,           0.0032618,           0.0032618
                 113,            0.016984,            0.010074,          0.00088324,             0.94571,             0.88885,              0.9315,             0.66616,            0.023834,             0.01195,           0.0033582,           0.0032013,           0.0032013,           0.0032013
                 114,            0.017079,            0.010041,          0.00088605,             0.94388,             0.89091,             0.93172,              0.6674,            0.023844,            0.011958,           0.0033625,           0.0031421,           0.0031421,           0.0031421
                 115,             0.01681,           0.0099366,          0.00078294,               0.942,             0.89194,             0.93212,             0.66741,            0.023806,            0.011968,           0.0034014,           0.0030841,           0.0030841,           0.0030841
                 116,            0.016711,           0.0098982,          0.00075503,             0.94265,             0.88919,             0.93156,             0.66723,            0.023793,            0.011993,           0.0033965,           0.0030274,           0.0030274,           0.0030274
                 117,             0.01665,           0.0098757,          0.00074449,             0.93307,             0.89414,             0.93154,             0.66664,            0.023802,            0.012011,           0.0034538,            0.002972,            0.002972,            0.002972
                 118,            0.016785,           0.0098927,          0.00079335,               0.932,              0.8953,               0.931,             0.66551,              0.0238,            0.012056,            0.003454,           0.0029179,           0.0029179,           0.0029179
                 119,            0.016464,           0.0099238,          0.00081504,              0.9512,             0.87738,             0.93054,               0.665,            0.023812,            0.012106,           0.0034274,           0.0028652,           0.0028652,           0.0028652
                 120,            0.016465,           0.0099549,          0.00083851,             0.94804,             0.88071,             0.93052,             0.66469,             0.02383,             0.01214,           0.0034366,           0.0028139,           0.0028139,           0.0028139
                 121,            0.016307,           0.0097278,          0.00082593,              0.9439,             0.88471,             0.93038,             0.66339,            0.023848,            0.012164,           0.0033921,           0.0027639,           0.0027639,           0.0027639
                 122,             0.01619,           0.0097019,          0.00069878,             0.95233,             0.87939,             0.93027,             0.66379,            0.023847,            0.012189,           0.0033802,           0.0027154,           0.0027154,           0.0027154
